,Ordre de travail,Description,Equipment,Nom Equipement,date enregistrement,Noeud Parent,Nom_parent,Classification_Equipement,Date début,Date Fin,Type OT,day_diff,day,Year2,Year1,Year3,date_enreg
0,OT000001,Pas de Descriprion,GCULZ201,Production  Beurre creme fraiche,2019-02-13 00:00:00,GCULZ2,Zone 2,Mécanique,2019-03-01,2019-03-01,correctif planifié,16,16 days 00:00:00,2019,2019,2019,2019-02-13
1,OT000002,Pas de Descriprion,GCULZ103,Production  UHT,2019-01-16 00:00:00,GCULZ1,Zone 1,Mécanique,2019-02-01,2019-02-01,correctif planifié,16,16 days 00:00:00,2019,2019,2019,2019-01-16
2,OT000003,Pas de Descriprion,ULPRPH0104,TBA/8,2019-02-13 00:00:00,ULPRPH01,UHT A,Mécanique,2019-03-01,2019-03-01,correctif planifié,16,16 days 00:00:00,2019,2019,2019,2019-02-13
3,OT000011,Pas de Descriprion,ULPRPH0104,TBA/8,2019-02-13 00:00:00,ULPRPH01,UHT A,Mécanique,2019-03-01,2019-03-01,correctif planifié,16,16 days 00:00:00,2019,2019,2019,2019-02-13
4,OT000012,Préparation les nouveaux têtes scellage,ULPRPS0204,REMPLISSEUSE-CAPSULEUSE,2019-02-01 10:00:00,ULPRPS02,BOUTEILLE,Mécanique,2019-02-01,2019-02-01,correctif planifié,-1,-1 days +14:00:00,2019,2019,2019,2019-02-01
6,OT000021,Pas de Descriprion,ULPRPT0101,STATION DOSAGE SOUDE ET ACIDE CONCENTRE,2019-01-16 00:00:00,ULPRPT01,NEP,Mécanique,2019-02-01,2019-03-01,correctif planifié,16,16 days 00:00:00,2019,2019,2019,2019-01-16
7,OT000023,Pas de Descriprion,PFC105,Posimat A,2019-02-01 14:28:00,PFC1,conditionnement 1,Mécanique,2019-02-01,2019-02-01,correctif non planifié,-1,-1 days +09:32:00,2019,2019,2019,2019-02-01
8,OT000031,Pas de Descriprion,ULUTEG0106,circuit eau glacé,2019-01-16 00:00:00,ULUTEG01,PRODUCTION EAU GLACCE,Mécanique,2019-02-01,2019-03-01,correctif planifié,16,16 days 00:00:00,2019,2019,2019,2019-01-16
9,OT000064,Pas de Descriprion,PFC109,Sleever B (10000853-417),2019-03-01 10:19:00,PFC1,conditionnement 1,Mécanique,2019-03-01,2019-03-01,correctif planifié,-1,-1 days +13:41:00,2019,2019,2019,2019-03-01
11,OT003799,réparation éclairage au niveau atelier UHT,ULPRPH0608,ECLAIRAGE,2019-03-01 08:01:00,ULPRPH06,DIVERS UHT,Electrique,2019-03-01,2019-03-01,correctif planifié,-1,-1 days +15:59:00,2019,2019,2019,2019-03-01
13,OT003803,Pas de Descriprion,PFS102,Mimasa 2 (L-300 série 643),2019-02-01 14:22:00,PFS1,Suremballage,Mécanique,2019-02-01,2019-02-01,correctif planifié,-1,-1 days +09:38:00,2019,2019,2019,2019-02-01
14,OT003804,Pas de Descriprion,ULPRPH0402,HOMO STEREDIAL,2019-02-13 00:00:00,ULPRPH04,UHT D,Mécanique,2019-03-01,2019-03-01,correctif planifié,16,16 days 00:00:00,2019,2019,2019,2019-02-13
15,OT003806,Pas de Descriprion,ULPRPH0407,HELIX,2019-02-13 00:00:00,ULPRPH04,UHT D,Mécanique,2019-03-01,2019-03-01,correctif planifié,16,16 days 00:00:00,2019,2019,2019,2019-02-13
17,OT003810,Pas de Descriprion,PFC101,ERCA 1 (EF320L série 39306),2019-03-01 13:00:00,PFC1,conditionnement 1,Mécanique,2019-04-01,2019-04-01,correctif non planifié,30,30 days 11:00:00,2019,2019,2019,2019-03-01
18,OT003849,Pas de Descriprion,PFS101,Mimasa 1 (L-300 série 446),2019-02-01 14:24:00,PFS1,Suremballage,Mécanique,2019-02-01,2019-02-01,correctif planifié,-1,-1 days +09:36:00,2019,2019,2019,2019-02-01
19,OT003876,Pas de Descriprion,PFC102,ERCA 2 (EF320L série 34407),2019-02-01 14:25:00,PFC1,conditionnement 1,Mécanique,2019-02-01,2019-02-01,correctif non planifié,-1,-1 days +09:35:00,2019,2019,2019,2019-02-01
20,OT003879,Fuite purgeur vapeur==+>changement le purgeur,ULPRPS0201,PRESTE,2019-03-01 13:00:00,ULPRPS02,BOUTEILLE,Mécanique,2019-03-01,2019-03-01,correctif planifié,-1,-1 days +11:00:00,2019,2019,2019,2019-03-01
21,OT004675,changement lame,PFC109,Sleever B (10000853-417),2019-05-01 10:19:00,PFC1,conditionnement 1,Mécanique,2019-05-01,2019-05-01,correctif planifié,-1,-1 days +13:41:00,2019,2019,2019,2019-05-01
22,OT004754,Pas de Descriprion,ULPRPH0302,HOMO STEREDIAL,2019-04-15 00:00:00,ULPRPH03,UHT C,Mécanique,2019-05-01,2019-05-01,correctif non planifié,16,16 days 00:00:00,2019,2019,2019,2019-04-15
23,OT004786,Pas de Descriprion,PFS102,Mimasa 2 (L-300 série 643),2019-08-01 14:29:00,PFS1,Suremballage,Mécanique,2019-08-01,2019-08-01,correctif planifié,-1,-1 days +09:31:00,2019,2019,2019,2019-08-01
24,OT004787,Pas de Descriprion,PFP100,Divers Process 1,2019-07-16 00:00:00,PFP1,Traitement 1 (Process 1),Mécanique,2019-08-01,2019-08-01,correctif planifié,16,16 days 00:00:00,2019,2019,2019,2019-07-16
25,OT004788,Pas de Descriprion,PFC206,Galdi RG250,2019-08-01 08:09:00,PFC2,Conditionnement 2,Mécanique,2019-08-01,2019-08-01,correctif planifié,-1,-1 days +15:51:00,2019,2019,2019,2019-08-01
26,OT004789,Pas de Descriprion,PFC102,ERCA 2 (EF320L série 34407),2019-08-01 14:32:00,PFC1,conditionnement 1,Mécanique,2019-08-01,2019-08-01,correctif planifié,-1,-1 days +09:28:00,2019,2019,2019,2019-08-01
27,OT004790,Pas de Descriprion,PFS110,Chariot porte bobine,2019-08-01 14:33:00,PFS1,Suremballage,Electrique,2019-08-01,2019-08-01,correctif planifié,-1,-1 days +09:27:00,2019,2019,2019,2019-08-01
28,OT004791,Pas de Descriprion,PFD009,Vestiaire ouvriers,2019-08-01 08:19:00,PFD0,Divers,Mécanique,2019-08-01,2019-08-01,correctif planifié,-1,-1 days +15:41:00,2019,2019,2019,2019-08-01
29,OT004792,Pas de Descriprion,PFP20101,Liquiverter,2019-08-01 08:20:00,PFP201,Poudrage 3,Mécanique,2019-08-01,2019-08-01,correctif planifié,-1,-1 days +15:40:00,2019,2019,2019,2019-08-01
30,OT004793,Pas de Descriprion,PFC106,Sleever A (03/07-0281),2019-06-01 10:34:00,PFC1,conditionnement 1,Mécanique,2019-04-01,2019-04-01,correctif planifié,-62,-62 days +13:26:00,2019,2019,2019,2019-06-01
31,OT004794,Pas de Descriprion,PFC103,ERCA 3 (EF320L série 37212),2019-06-01 07:59:00,PFC1,conditionnement 1,Mécanique,2019-04-01,2019-04-01,correctif planifié,-62,-62 days +16:01:00,2019,2019,2019,2019-06-01
32,OT004795,Pas de Descriprion,PFC203,ERCA dessert 2 (MF14 série 26016),2019-06-01 16:44:00,PFC2,Conditionnement 2,Mécanique,2019-04-01,2019-04-01,correctif planifié,-62,-62 days +07:16:00,2019,2019,2019,2019-06-01
33,OT004796,Pas de Descriprion,PFC102,ERCA 2 (EF320L série 34407),2019-04-01 14:35:00,PFC1,conditionnement 1,Mécanique,2019-04-01,2019-04-01,correctif planifié,-1,-1 days +09:25:00,2019,2019,2019,2019-04-01
34,OT004797,Pas de Descriprion,PFC201,ERCA dessert 1 (MF14 série 29313),2019-04-01 08:10:00,PFC2,Conditionnement 2,Mécanique,2019-04-01,2019-04-01,correctif planifié,-1,-1 days +15:50:00,2019,2019,2019,2019-04-01
35,OT004798,Pas de Descriprion,PFC205,ERCA Pate Fraiche (MF7 série 29413),2019-02-01 18:34:00,PFC2,Conditionnement 2,Mécanique,2019-02-01,2019-02-01,correctif planifié,-1,-1 days +05:26:00,2019,2019,2019,2019-02-01
36,OT004805,Pas de Descriprion,PFC206,Galdi RG250,2019-02-01 14:36:00,PFC2,Conditionnement 2,Mécanique,2019-02-01,2019-02-01,correctif planifié,-1,-1 days +09:24:00,2019,2019,2019,2019-02-01
37,OT004806,Pas de Descriprion,PFC203,ERCA dessert 2 (MF14 série 26016),2019-03-01 08:21:00,PFC2,Conditionnement 2,Mécanique,2019-03-01,2019-03-01,correctif planifié,-1,-1 days +15:39:00,2019,2019,2019,2019-03-01
38,OT004817,Pas de Descriprion,PFC201,ERCA dessert 1 (MF14 série 29313),2019-04-01 14:40:00,PFC2,Conditionnement 2,Mécanique,2019-04-01,2019-05-01,correctif planifié,-1,-1 days +09:20:00,2019,2019,2019,2019-04-01
39,OT004822,Pas de Descriprion,PFC201,ERCA dessert 1 (MF14 série 29313),2019-06-01 08:22:00,PFC2,Conditionnement 2,Mécanique,2019-06-01,2019-06-01,correctif planifié,-1,-1 days +15:38:00,2019,2019,2019,2019-06-01
40,OT004825,Pas de Descriprion,PFC101,ERCA 1 (EF320L série 39306),2019-05-01 14:40:00,PFC1,conditionnement 1,Mécanique,2019-05-01,2019-05-01,correctif planifié,-1,-1 days +09:20:00,2019,2019,2019,2019-05-01
41,OT004829,Pas de Descriprion,PFC201,ERCA dessert 1 (MF14 série 29313),2019-05-01 08:23:00,PFC2,Conditionnement 2,Mécanique,2019-05-01,2019-05-01,correctif planifié,-1,-1 days +15:37:00,2019,2019,2019,2019-05-01
42,OT004830,Pas de Descriprion,PFC104,Serac A (DmxR12T12/540 série M06-OF64),2019-06-01 03:30:00,PFC1,conditionnement 1,Mécanique,2019-06-01,2019-06-01,correctif planifié,-1,-1 days +20:30:00,2019,2019,2019,2019-06-01
43,OT004833,Pas de Descriprion,PFS101,Mimasa 1 (L-300 série 446),2019-06-01 23:00:00,PFS1,Suremballage,Mécanique,2019-06-01,2019-06-01,correctif planifié,-1,-1 days +01:00:00,2019,2019,2019,2019-06-01
44,OT004836,Pas de Descriprion,PFC103,ERCA 3 (EF320L série 37212),2019-07-01 00:56:00,PFC1,conditionnement 1,Mécanique,2019-06-01,2019-06-01,correctif planifié,-31,-31 days +23:04:00,2019,2019,2019,2019-07-01
45,OT004838,Pas de Descriprion,PFC101,ERCA 1 (EF320L série 39306),2019-08-01 08:11:00,PFC1,conditionnement 1,Mécanique,2019-08-01,2019-08-01,correctif planifié,-1,-1 days +15:49:00,2019,2019,2019,2019-08-01
46,OT004839,Pas de Descriprion,PAV00212,2584 TU 128,2019-08-01 11:02:00,PAV002,Camions,Mécanique,2019-08-01,2019-08-01,correctif planifié,-1,-1 days +12:58:00,2019,2019,2019,2019-08-01
47,OT004852,Pas de Descriprion,PFC104,Serac A (DmxR12T12/540 série M06-OF64),2019-08-01 14:41:00,PFC1,conditionnement 1,Mécanique,2019-08-01,2019-08-01,correctif planifié,-1,-1 days +09:19:00,2019,2019,2019,2019-08-01
48,OT004855,remplissage eau batterie,ULPRPH0604,CHARGEUR BATTERIE,2019-04-01 08:07:00,ULPRPH06,DIVERS UHT,Electrique,2019-04-01,2019-04-01,correctif planifié,-1,-1 days +15:53:00,2019,2019,2019,2019-04-01
49,OT004860,Pas de Descriprion,ULPRPH0205,TBA/8,2019-05-16 00:00:00,ULPRPH02,UHT B,Mécanique,2019-06-01,2019-06-01,correctif non planifié,16,16 days 00:00:00,2019,2019,2019,2019-05-16
50,OT004863,Pas de Descriprion,ULPRPH0102,HOMO STEREDIAL,2019-04-15 00:00:00,ULPRPH01,UHT A,Mécanique,2019-05-01,2019-05-01,correctif non planifié,16,16 days 00:00:00,2019,2019,2019,2019-04-15
51,OT004871,Pas de Descriprion,ULPRPH0104,TBA/8,2019-04-15 00:00:00,ULPRPH01,UHT A,Mécanique,2019-05-01,2019-05-01,correctif planifié,16,16 days 00:00:00,2019,2019,2019,2019-04-15
52,OT004872,Pas de Descriprion,PFP200,Divers Process 2,2019-07-01 13:45:00,PFP2,Etage (Process 2),Mécanique,2019-07-01,2019-07-01,correctif planifié,-1,-1 days +10:15:00,2019,2019,2019,2019-07-01
53,OT004875,Pas de Descriprion,ULPRPH0102,HOMO STEREDIAL,2019-05-16 00:00:00,ULPRPH01,UHT A,Mécanique,2019-06-01,2019-06-01,correctif non planifié,16,16 days 00:00:00,2019,2019,2019,2019-05-16
54,OT004877,Fuite du lait au niveau tête Homo===>Révision la tête,ULPRPH0102,HOMO STEREDIAL,2019-07-02 10:00:00,ULPRPH01,UHT A,Mécanique,2019-07-01,2019-07-01,correctif planifié,-2,-2 days +14:00:00,2019,2019,2019,2019-07-02
55,OT004879,Pas de Descriprion,PFC101,ERCA 1 (EF320L série 39306),2019-07-01 10:20:00,PFC1,conditionnement 1,Mécanique,2019-07-01,2019-07-01,correctif planifié,-1,-1 days +13:40:00,2019,2019,2019,2019-07-01
56,OT004880,Pas de Descriprion,ULPRPH020504,UNITE RACCORDEMENT PAPIER,2019-06-15 00:00:00,ULPRPH0205,TBA/8,Mécanique,2019-07-01,2019-07-01,correctif non planifié,16,16 days 00:00:00,2019,2019,2019,2019-06-15
57,OT004881,Fuite du lait au niveau plaque de cisaillement===>changement la plaque,ULPRPS0202,HOMO,2019-07-01 09:00:00,ULPRPS02,BOUTEILLE,Mécanique,2019-07-01,2019-07-01,correctif non planifié,-1,-1 days +15:00:00,2019,2019,2019,2019-07-01
58,OT004958,Pas de Descriprion,PAV203,TE Nø 4,2019-08-01 11:50:00,PAV2,Parc Auto Transpalettes,Mécanique,2019-08-01,2019-08-01,correctif planifié,-1,-1 days +12:10:00,2019,2019,2019,2019-08-01
