,Date,nombre_pannes
0,2019-01-01,5
1,2019-01-02,10
2,2019-01-03,4
3,2019-01-04,6
4,2019-01-06,1
5,2019-01-07,3
6,2019-01-08,1
7,2019-01-11,2
8,2019-01-16,4
9,2019-01-17,2
10,2019-01-18,5
11,2019-01-19,9
12,2019-01-20,21
13,2019-01-21,9
14,2019-01-22,21
15,2019-01-23,10
16,2019-01-24,22
17,2019-01-25,13
18,2019-01-26,3
19,2019-01-27,16
20,2019-02-01,11
21,2019-02-02,11
22,2019-02-03,6
23,2019-02-04,12
24,2019-02-05,4
25,2019-02-07,2
26,2019-02-08,1
27,2019-02-09,1
28,2019-02-10,4
29,2019-02-11,2
30,2019-02-12,2
31,2019-02-13,8
32,2019-02-14,2
33,2019-02-15,3
34,2019-02-16,6
35,2019-02-17,10
36,2019-02-18,9
37,2019-02-19,13
38,2019-02-20,9
39,2019-02-21,11
40,2019-02-22,15
41,2019-02-23,7
42,2019-02-24,15
43,2019-03-01,13
44,2019-03-02,4
45,2019-03-03,7
46,2019-03-04,9
47,2019-03-05,1
48,2019-03-06,1
49,2019-03-07,16
50,2019-03-08,1
51,2019-03-09,3
52,2019-03-10,3
53,2019-03-12,5
54,2019-03-16,3
55,2019-03-17,8
56,2019-03-18,8
57,2019-03-19,8
58,2019-03-20,8
59,2019-03-21,7
60,2019-03-22,9
61,2019-03-23,6
62,2019-03-24,16
63,2019-03-25,17
64,2019-03-26,18
65,2019-03-27,20
66,2019-04-01,8
67,2019-04-02,13
68,2019-04-03,5
69,2019-04-04,6
70,2019-04-07,5
71,2019-04-10,4
72,2019-04-11,2
73,2019-04-12,12
74,2019-04-15,4
75,2019-04-16,6
76,2019-04-17,9
77,2019-04-18,9
78,2019-04-19,7
79,2019-04-20,2
80,2019-04-21,11
81,2019-04-22,4
82,2019-04-23,12
83,2019-04-24,5
84,2019-04-25,22
85,2019-04-26,18
86,2019-05-01,5
87,2019-05-02,12
88,2019-05-03,13
89,2019-05-04,3
90,2019-05-07,2
91,2019-05-08,1
92,2019-05-11,22
93,2019-05-16,3
94,2019-05-17,7
95,2019-05-18,11
96,2019-05-19,7
97,2019-05-20,18
98,2019-05-21,14
99,2019-05-22,9
100,2019-05-23,7
101,2019-05-24,13
102,2019-05-25,7
103,2019-05-26,12
104,2019-05-27,20
105,2019-06-01,9
106,2019-06-02,8
107,2019-06-03,7
108,2019-06-04,6
109,2019-06-05,1
110,2019-06-08,3
111,2019-06-09,4
112,2019-06-11,1
113,2019-06-12,2
114,2019-06-15,6
115,2019-06-16,7
116,2019-06-17,12
117,2019-06-18,1
118,2019-06-19,13
119,2019-06-20,13
120,2019-06-21,7
121,2019-06-22,11
122,2019-06-23,10
123,2019-06-24,19
124,2019-06-25,15
125,2019-06-26,9
126,2019-07-01,25
127,2019-07-02,11
128,2019-07-03,19
129,2019-07-04,7
130,2019-07-05,1
131,2019-07-06,1
132,2019-07-08,2
133,2019-07-09,1
134,2019-07-10,4
135,2019-07-11,2
136,2019-07-16,4
137,2019-07-17,4
138,2019-07-18,3
139,2019-07-19,6
140,2019-07-20,8
141,2019-07-21,14
142,2019-07-22,10
143,2019-07-23,12
144,2019-07-24,8
145,2019-07-25,22
146,2019-07-26,9
147,2019-07-27,7
148,2019-08-01,16
149,2019-08-02,9
150,2019-08-03,9
151,2019-08-04,12
152,2019-08-07,1
153,2019-08-08,1
154,2019-08-10,17
155,2019-08-11,2
156,2019-08-16,3
157,2019-08-17,1
158,2019-08-18,3
159,2019-08-19,6
160,2019-08-20,12
161,2019-08-21,7
162,2019-08-22,12
163,2019-08-23,9
164,2019-08-24,16
165,2019-08-25,13
166,2019-08-26,5
167,2019-08-27,20
168,2019-09-01,11
169,2019-09-02,6
170,2019-09-03,3
171,2019-09-04,14
172,2019-09-05,1
173,2019-09-07,1
174,2019-09-08,4
175,2019-09-09,5
176,2019-09-10,13
177,2019-09-12,10
178,2019-09-15,3
179,2019-09-16,3
180,2019-09-17,1
181,2019-09-18,12
182,2019-09-19,19
183,2019-09-20,19
184,2019-09-21,10
185,2019-09-22,3
186,2019-09-23,14
187,2019-09-24,9
188,2019-09-25,9
189,2019-09-26,19
190,2019-10-01,15
191,2019-10-02,3
192,2019-10-03,9
193,2019-10-04,12
194,2019-10-05,1
195,2019-10-07,1
196,2019-10-09,5
197,2019-10-10,2
198,2019-10-12,1
199,2019-10-16,6
200,2019-10-17,7
201,2019-10-18,6
202,2019-10-19,8
203,2019-10-20,8
204,2019-10-21,21
205,2019-10-22,8
206,2019-10-23,1
207,2019-10-24,16
208,2019-10-25,15
209,2019-10-26,15
210,2019-10-27,21
211,2019-11-01,10
212,2019-11-02,12
213,2019-11-03,16
214,2019-11-04,5
215,2019-11-05,1
216,2019-11-06,1
217,2019-11-11,3
218,2019-11-15,5
219,2019-11-16,9
220,2019-11-17,6
221,2019-11-18,7
222,2019-11-19,7
223,2019-11-20,13
224,2019-11-21,11
225,2019-11-22,2
226,2019-11-23,9
227,2019-11-24,8
228,2019-11-25,12
229,2019-11-26,17
230,2019-12-01,62
231,2019-12-02,13
232,2019-12-03,15
233,2019-12-04,7
234,2019-12-06,1
235,2019-12-09,2
236,2019-12-10,1
237,2019-12-11,6
238,2019-12-16,9
239,2019-12-17,9
240,2019-12-18,4
241,2019-12-19,11
242,2019-12-20,11
243,2019-12-21,12
244,2019-12-22,20
245,2019-12-23,3
246,2019-12-24,9
247,2019-12-25,20
248,2019-12-26,7
249,2019-12-27,2
250,2020-01-02,2
251,2020-01-04,6
252,2020-01-06,2
253,2020-01-09,1
254,2020-01-10,2
255,2020-01-11,1
256,2020-01-12,5
257,2020-01-16,18
258,2020-01-17,9
259,2020-01-18,22
260,2020-01-19,8
261,2020-01-20,8
262,2020-01-21,8
263,2020-01-22,13
264,2020-01-23,4
265,2020-01-24,13
266,2020-01-25,18
267,2020-01-26,11
268,2020-01-27,5
269,2020-02-03,4
270,2020-02-04,5
271,2020-02-07,6
272,2020-02-09,1
273,2020-02-11,5
274,2020-02-12,7
275,2020-02-14,18
276,2020-02-15,13
277,2020-02-16,12
278,2020-02-17,6
279,2020-02-18,7
280,2020-02-19,20
281,2020-02-20,14
282,2020-02-21,18
283,2020-02-22,15
284,2020-02-23,4
285,2020-02-24,8
286,2020-02-25,4
287,2020-03-02,21
288,2020-03-03,18
289,2020-03-06,1
290,2020-03-07,1
291,2020-03-11,2
292,2020-03-12,2
293,2020-03-16,4
294,2020-03-17,4
295,2020-03-18,17
296,2020-03-19,3
297,2020-03-20,12
298,2020-03-21,10
299,2020-03-22,4
300,2020-03-23,14
301,2020-03-24,19
302,2020-03-25,7
303,2020-03-26,10
304,2020-03-27,1
305,2020-04-02,1
306,2020-04-05,4
307,2020-04-06,2
308,2020-04-08,3
309,2020-04-09,4
310,2020-04-11,4
311,2020-04-12,3
312,2020-04-15,8
313,2020-04-16,16
314,2020-04-17,12
315,2020-04-18,3
316,2020-04-19,11
317,2020-04-20,13
318,2020-04-21,4
319,2020-04-22,20
320,2020-04-23,8
321,2020-04-24,17
322,2020-04-25,10
323,2020-05-03,2
324,2020-05-05,3
325,2020-05-06,2
326,2020-05-08,1
327,2020-05-11,2
328,2020-05-12,3
329,2020-05-16,18
330,2020-05-17,21
331,2020-05-18,11
332,2020-05-19,9
333,2020-05-20,14
334,2020-05-21,7
335,2020-05-22,15
336,2020-05-23,9
337,2020-05-24,9
338,2020-05-25,19
339,2020-05-26,4
340,2020-06-03,2
341,2020-06-06,5
342,2020-06-07,4
343,2020-06-08,1
344,2020-06-10,1
345,2020-06-11,1
346,2020-06-12,3
347,2020-06-15,14
348,2020-06-16,13
349,2020-06-17,5
350,2020-06-18,6
351,2020-06-19,17
352,2020-06-20,6
353,2020-06-21,9
354,2020-06-22,7
