Date,nombre_pannes,Year,sin_day,quarter,cos_day,day_of_week,day,dayofmonth,week,month,lag_1,lag_2,lag_3,lag_4,lag_6,lag_9
2019-01-01,14.0,2019,0.8414709848078965,1,0.5403023058681398,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,10.0,2019,0.9092974268256817,1,-0.4161468365471424,2,2,2,1,1,14.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,7.0,2019,0.1411200080598672,1,-0.9899924966004454,3,3,3,1,1,10.0,14.0,0.0,0.0,0.0,0.0
2019-01-04,8.0,2019,-0.7568024953079282,1,-0.6536436208636119,4,4,4,1,1,7.0,10.0,14.0,0.0,0.0,0.0
2019-01-05,8.0,2019,-0.9589242746631385,1,0.28366218546322625,5,5,5,1,1,8.0,7.0,10.0,14.0,0.0,0.0
2019-01-06,9.0,2019,-0.27941549819892586,1,0.960170286650366,6,6,6,1,1,8.0,8.0,7.0,10.0,0.0,0.0
2019-01-07,16.0,2019,0.6569865987187891,1,0.7539022543433046,0,7,7,2,1,9.0,8.0,8.0,7.0,14.0,0.0
2019-01-08,11.0,2019,0.9893582466233818,1,-0.14550003380861354,1,8,8,2,1,16.0,9.0,8.0,8.0,10.0,0.0
2019-01-09,9.0,2019,0.4121184852417566,1,-0.9111302618846769,2,9,9,2,1,11.0,16.0,9.0,8.0,7.0,0.0
2019-01-10,6.0,2019,-0.5440211108893698,1,-0.8390715290764524,3,10,10,2,1,9.0,11.0,16.0,9.0,8.0,14.0
2019-01-11,6.0,2019,-0.9999902065507035,1,0.004425697988050785,4,11,11,2,1,6.0,9.0,11.0,16.0,8.0,10.0
2019-01-12,7.0,2019,-0.5365729180004349,1,0.8438539587324921,5,12,12,2,1,6.0,6.0,9.0,11.0,9.0,7.0
2019-01-13,11.0,2019,0.4201670368266409,1,0.9074467814501962,6,13,13,2,1,7.0,6.0,6.0,9.0,16.0,8.0
2019-01-14,8.0,2019,0.9906073556948704,1,0.1367372182078336,0,14,14,3,1,11.0,7.0,6.0,6.0,11.0,8.0
2019-01-15,16.0,2019,0.6502878401571168,1,-0.7596879128588213,1,15,15,3,1,8.0,11.0,7.0,6.0,9.0,9.0
2019-01-16,18.0,2019,-0.2879033166650653,1,-0.9576594803233847,2,16,16,3,1,16.0,8.0,11.0,7.0,6.0,16.0
2019-01-17,22.0,2019,-0.9613974918795568,1,-0.27516333805159693,3,17,17,3,1,18.0,16.0,8.0,11.0,6.0,11.0
2019-01-18,27.0,2019,-0.7509872467716762,1,0.6603167082440802,4,18,18,3,1,22.0,18.0,16.0,8.0,7.0,9.0
2019-01-19,10.0,2019,0.14987720966295234,1,0.9887046181866692,5,19,19,3,1,27.0,22.0,18.0,16.0,11.0,6.0
2019-01-20,7.0,2019,0.9129452507276277,1,0.40808206181339196,6,20,20,3,1,10.0,27.0,22.0,18.0,8.0,6.0
2019-01-21,7.0,2019,0.8366556385360561,1,-0.5477292602242684,0,21,21,4,1,7.0,10.0,27.0,22.0,16.0,7.0
2019-01-22,6.0,2019,-0.008851309290403876,1,-0.9999608263946371,1,22,22,4,1,7.0,7.0,10.0,27.0,18.0,11.0
2019-01-23,7.0,2019,-0.8462204041751706,1,-0.5328330203333975,2,23,23,4,1,6.0,7.0,7.0,10.0,22.0,8.0
