iter	RMSE
0	315.4080141
1	286.1452674
2	259.0131837
3	235.3085675
4	213.1606836
5	193.4788849
6	176.0399677
7	159.6508762
8	145.0963998
9	132.4544892
10	120.3605824
11	109.4620931
12	99.92306961
13	91.02223286
14	83.11878588
15	75.74269876
16	69.14444285
17	63.26920466
18	57.71837762
19	52.63421769
20	48.07098119
21	44.13248032
22	40.50779578
23	37.28774227
24	34.36546366
25	31.71457412
26	29.42848525
27	27.35704609
28	25.32467814
29	23.65748507
30	22.17573373
31	20.81030767
32	19.59968486
33	18.47407504
34	17.58226536
35	16.66752021
36	15.91032408
37	15.17624516
38	14.65097973
39	14.1731738
40	13.61073624
41	13.12116329
42	12.70037627
43	12.36069355
44	12.08296555
45	11.79743914
46	11.56996248
47	11.34338832
48	11.16582311
49	11.04838814
50	10.83519277
51	10.67673743
52	10.48734524
53	10.40326981
54	10.27893866
55	10.19940496
56	10.16001777
57	10.04043315
58	10.01102363
59	9.906581402
60	9.83745695
61	9.773658051
62	9.679299735
63	9.585525959
64	9.520906581
65	9.443438662
66	9.38211067
67	9.312224389
68	9.254414014
69	9.152738835
70	9.120109227
71	9.094032825
72	9.034982205
73	9.001139133
74	8.972031395
75	8.892154531
76	8.844787577
77	8.813721121
78	8.766004643
79	8.717155635
80	8.674626161
81	8.625892507
82	8.562770135
83	8.557075992
84	8.550816698
85	8.494061164
86	8.452495577
87	8.388437582
88	8.349907606
89	8.335642818
90	8.256871259
91	8.193072608
92	8.14955712
93	8.094891708
94	8.04324904
95	8.008872504
96	7.981344322
97	7.92860646
98	7.892506915
99	7.860620219
100	7.826320347
101	7.758081975
102	7.719036323
103	7.688449945
104	7.660743883
105	7.646627107
106	7.591549435
107	7.532913955
108	7.475307809
109	7.435251552
110	7.427266651
111	7.360992317
112	7.332157881
113	7.315734773
114	7.272020475
115	7.224918458
116	7.184524373
117	7.165757376
118	7.133097057
119	7.106420305
120	7.055902058
121	7.031773208
122	7.008921022
123	6.918219797
124	6.886618386
125	6.861844631
126	6.836351469
127	6.757350055
128	6.739743259
129	6.713317702
130	6.652050077
131	6.609050202
132	6.581127695
133	6.533145453
134	6.510624227
135	6.492697979
136	6.471340023
137	6.401406748
138	6.395443195
139	6.344780981
140	6.328741146
141	6.263943699
142	6.242176132
143	6.229135464
144	6.221187615
145	6.150663355
146	6.140152003
147	6.101497559
148	6.071079516
149	6.067699816
150	6.006627722
151	5.969459582
152	5.943766963
153	5.913666092
154	5.898358415
155	5.827569119
156	5.813252789
157	5.800751297
158	5.742143114
159	5.729277683
160	5.701270161
161	5.687739085
162	5.644311761
163	5.632769685
164	5.603365924
165	5.567437013
166	5.540287983
167	5.532258709
168	5.519110884
169	5.502134314
170	5.490303981
171	5.438506875
172	5.39760993
173	5.35157614
174	5.328505139
175	5.303459751
176	5.297706884
177	5.286580568
178	5.243673149
179	5.217932782
180	5.176794965
181	5.137509605
182	5.116712052
183	5.103379682
184	5.083896215
185	5.066971939
186	5.056445643
187	5.047614834
188	5.020736153
189	5.00143775
190	4.9922526
191	4.958379703
192	4.946716661
193	4.926648086
194	4.911436964
195	4.894564483
196	4.876119204
197	4.83438467
198	4.817520151
199	4.807420086
200	4.795978543
201	4.766777014
202	4.752442538
203	4.741251002
204	4.735600985
205	4.725168897
206	4.721347336
207	4.684907012
208	4.667310655
209	4.652163267
210	4.641363632
211	4.632400246
212	4.619063488
213	4.600133728
214	4.563386868
215	4.530347904
216	4.517651014
217	4.504360349
218	4.498717574
219	4.488673327
220	4.474867357
221	4.447151938
222	4.427855621
223	4.402458824
224	4.390212502
225	4.353420824
226	4.339247613
227	4.329207668
228	4.320541266
229	4.297504004
230	4.287687932
231	4.256568832
232	4.23485736
233	4.222939882
234	4.213535588
235	4.180020899
236	4.158382548
237	4.14995384
238	4.142847735
239	4.126318766
240	4.096358905
241	4.083147934
242	4.067466279
243	4.042962054
244	4.024303112
245	4.014719792
246	4.002452091
247	3.997119937
248	3.982042994
249	3.975332889
250	3.965276335
251	3.955341134
252	3.939799967
253	3.930730656
254	3.922418255
255	3.908234299
256	3.890916867
257	3.87949867
258	3.869497746
259	3.858667391
260	3.849943895
261	3.835936421
262	3.827152225
263	3.820652606
264	3.810531224
265	3.802580832
266	3.783743619
267	3.778669841
268	3.766238806
269	3.746415792
270	3.741807614
271	3.732887699
272	3.710290132
273	3.699976562
274	3.691986641
275	3.679205488
276	3.658652605
277	3.645489166
278	3.636768196
279	3.630108289
280	3.62067427
281	3.613223383
282	3.609785548
283	3.604035555
284	3.577692083
285	3.571895068
286	3.562957392
287	3.544535343
288	3.538714563
289	3.529971167
290	3.52524588
291	3.520548795
292	3.515828788
293	3.49639239
294	3.48588397
295	3.473930183
296	3.458159299
297	3.450464541
298	3.44294617
299	3.429027719
300	3.410489805
301	3.404213333
302	3.391582905
303	3.386134758
304	3.379264099
305	3.374046344
306	3.357630121
307	3.352863398
308	3.351016318
309	3.340715703
310	3.335404267
311	3.325520486
312	3.316629296
313	3.308071663
314	3.297233539
315	3.282141178
316	3.278786217
317	3.272605571
318	3.262612225
319	3.255721635
320	3.245470637
321	3.23221976
322	3.226314001
323	3.21899421
324	3.216235031
325	3.211156478
326	3.200927225
327	3.18906933
328	3.182402104
329	3.174094901
330	3.168450772
331	3.160011034
332	3.150479072
333	3.133533286
334	3.122425632
335	3.108653684
336	3.099319426
337	3.090404232
338	3.08675851
339	3.078836493
340	3.07543222
341	3.06888989
342	3.065349603
343	3.058945452
344	3.048757374
345	3.043489366
346	3.028257329
347	3.020844646
348	3.015795489
349	3.012321241
350	3.004942858
351	2.994934349
352	2.991211038
353	2.984889829
354	2.980032439
355	2.975365293
356	2.970137695
357	2.963288422
