iter	RMSE_SumError	RMSE_SumWeight	MAE_SumError	MAE_SumWeight
0	131642450.2	1305	357205.0235	1305
1	108925071.4	1305	323308.1066	1305
2	89748979.57	1305	291947.4657	1305
3	73954703.19	1305	263044.6299	1305
4	60971369.96	1305	237369.8422	1305
5	50522319.46	1305	214790.9478	1305
6	42107308.03	1305	195508.9166	1305
7	34460992.68	1305	176507.7911	1305
8	28522059.41	1305	160190.5235	1305
9	23397042.62	1305	144307.0198	1305
10	19389655.2	1305	130365.6375	1305
11	16088881.67	1305	118229.1432	1305
12	13389357.54	1305	107157.1566	1305
13	11236653.02	1305	97673.50486	1305
14	9440525.444	1305	88709.94548	1305
15	7821547.389	1305	80234.59801	1305
16	6502272.209	1305	72704.85242	1305
17	5417803.137	1305	66012.07147	1305
18	4504649.018	1305	60073.06369	1305
19	3752873.517	1305	54401.64476	1305
20	3175031.875	1305	49582.12061	1305
21	2693006.809	1305	45244.75871	1305
22	2272279.505	1305	41350.82083	1305
23	1917637.701	1305	37725.48159	1305
24	1639053.567	1305	34532.52691	1305
25	1407965.27	1305	31699.43262	1305
26	1212448.237	1305	29068.34579	1305
27	1056917.411	1305	26810.03137	1305
28	924376.8909	1305	24878.77783	1305
29	824553.3737	1305	23373.4366	1305
30	731535.6772	1305	21769.44534	1305
31	659882.1103	1305	20453.75783	1305
32	598435.3346	1305	19271.84864	1305
33	546140.0705	1305	18308.82743	1305
34	498142.409	1305	17307.83139	1305
35	458632.7851	1305	16543.08277	1305
36	426125.9319	1305	15830.61484	1305
37	396522.7501	1305	15259.39037	1305
38	371722.2347	1305	14742.08619	1305
39	353935.6511	1305	14344.18212	1305
40	336298.4074	1305	13987.31924	1305
41	323480.1259	1305	13683.27339	1305
42	306897.645	1305	13436.60992	1305
43	296751.9515	1305	13188.59471	1305
44	286606.3142	1305	12939.47081	1305
45	277744.1475	1305	12734.81998	1305
46	268637.4226	1305	12558.23559	1305
47	264252.184	1305	12419.07678	1305
48	257531.3649	1305	12261.61918	1305
49	248827.4906	1305	12111.06973	1305
50	244472.4113	1305	12000.89478	1305
51	240974.8433	1305	11918.49963	1305
52	236748.5616	1305	11830.65713	1305
53	233714.6063	1305	11735.45278	1305
54	230451.4709	1305	11645.34798	1305
55	227799.0389	1305	11602.41081	1305
56	226183.6676	1305	11563.60814	1305
57	223968.8672	1305	11493.19703	1305
58	219032.3844	1305	11463.8267	1305
59	217122.0225	1305	11438.26	1305
60	214530.515	1305	11330.54946	1305
61	213024.8674	1305	11280.97258	1305
62	212237.7338	1305	11260.41936	1305
63	211301.8899	1305	11230.46588	1305
64	210411.3221	1305	11209.63002	1305
65	205313.5036	1305	11162.04159	1305
66	202155.6962	1305	11142.82529	1305
67	201336.51	1305	11123.63358	1305
68	200435.5549	1305	11102.59198	1305
69	200040.6986	1305	11091.65892	1305
70	199752.3759	1305	11083.66708	1305
71	199346.8625	1305	11071.03408	1305
72	199315.8119	1305	11071.12569	1305
73	198940.7556	1305	11062.9018	1305
74	197544.8937	1305	10995.52655	1305
75	197380.2992	1305	10988.62608	1305
76	196581.1155	1305	10930.49258	1305
77	191682.2668	1305	10905.96335	1305
78	191222.0502	1305	10892.2257	1305
79	188236.005	1305	10794.7524	1305
80	188196.395	1305	10794.1762	1305
81	188039.7627	1305	10790.72392	1305
82	186316.2754	1305	10755.62901	1305
83	184472.7858	1305	10690.80784	1305
84	182595.7733	1305	10621.49595	1305
85	182443.0026	1305	10614.79941	1305
86	182273.7485	1305	10608.69302	1305
87	181678.3888	1305	10583.08573	1305
88	181563.0213	1305	10574.80788	1305
89	180464.436	1305	10522.62939	1305
90	180389.6397	1305	10518.69135	1305
91	179372.5393	1305	10478.11144	1305
92	179316.2916	1305	10479.08621	1305
93	178697.2229	1305	10449.05967	1305
94	176449.9775	1305	10348.05095	1305
95	176274.123	1305	10336.12058	1305
96	175489.2481	1305	10307.68724	1305
97	175394.1497	1305	10303.1581	1305
98	172638.4347	1305	10164.48366	1305
99	171589.1318	1305	10126.18226	1305
100	166334.0189	1305	10065.04325	1305
101	166163.5841	1305	10053.50891	1305
102	163546.8589	1305	9951.860773	1305
103	163507.6404	1305	9950.634994	1305
104	163402.1851	1305	9942.248804	1305
105	162143.55	1305	9887.925957	1305
106	161570.7295	1305	9860.53353	1305
107	161533.0242	1305	9858.735897	1305
108	158987.9871	1305	9740.523599	1305
109	158836.7837	1305	9730.258143	1305
110	158763.4508	1305	9722.504785	1305
111	157467.5292	1305	9655.822242	1305
112	157332.1289	1305	9646.578766	1305
