iter	Passed	Remaining
0	263	1291557
1	435	1066374
2	542	885037
3	617	755440
4	783	767342
5	850	693285
6	1009	705395
7	1143	699380
8	1244	675944
9	1295	633240
10	1410	626936
11	1507	614057
12	1627	611713
13	1735	605591
14	1886	614311
15	2010	613611
16	2118	608375
17	2206	598199
18	2288	587807
19	2415	589273
20	2558	594368
21	2703	599245
22	2766	586556
23	2847	578427
24	2950	575162
25	2989	560391
26	3033	547441
27	3154	548857
28	3275	550077
29	3339	541977
30	3441	540427
31	3541	538631
32	3641	536901
33	3744	535735
34	3861	536640
35	3973	536691
36	4021	528478
37	4121	527265
38	4160	518469
39	4241	515236
40	4357	516323
41	4447	514312
42	4590	518359
43	4730	521928
44	4821	520097
45	4900	517001
46	5056	521962
47	5163	521869
48	5262	520842
49	5318	515804
50	5418	515082
51	5530	515489
52	5600	512112
53	5662	508063
54	5806	511431
55	5858	506695
56	5878	499363
57	5964	497823
58	5983	490852
59	6111	492889
60	6225	493777
61	6278	489813
62	6360	488274
63	6455	487730
64	6575	489012
65	6659	487650
66	6751	486883
67	6839	485900
68	6923	484640
69	7019	484260
70	7090	482147
71	7208	483249
72	7295	482311
73	7345	478916
74	7431	478019
75	7508	476509
76	7595	475681
77	7705	476268
78	7783	474891
79	7830	471718
80	7927	471547
81	8031	471821
82	8133	471947
83	8182	469050
84	8202	464566
85	8325	465938
86	8441	466878
87	8539	466842
88	8643	467162
89	8759	468056
90	8863	468282
91	8971	468786
92	9091	469800
93	9210	470832
94	9356	473140
95	9460	473339
96	9549	472773
97	9634	471996
98	9728	471668
99	9797	470191
100	9878	469269
101	9966	468712
102	10082	469468
103	10163	468584
104	10250	467997
105	10334	467293
106	10432	467205
107	10517	466571
108	10623	466846
109	10724	466892
110	10806	466129
111	10900	465878
112	10982	465154
113	11078	465015
114	11163	464392
115	11245	463703
116	11325	462906
117	11408	462243
118	11481	461206
119	11568	460732
120	11646	459898
121	11736	459553
122	11810	458585
123	11906	458512
124	11987	457809
125	12083	457732
126	12170	457309
127	12284	457868
128	12391	458185
129	12475	457642
130	12565	457363
